product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
38,Фейхоа,7876.0,956,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1990-01-12,2023-01-26,4.25,Shipping
39,Кукуруза консервированная,9324.0,282,Бакалея,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1999-02-24,2007-12-04,0.44,Pending
40,Мороженое,3144.0,139,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2021-01-12,2030-06-02,1.01,Awaiting Review
41,Сливки,6447.0,109,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2012-06-03,2028-03-08,3.54,Cancelled
42,Грейпфрут,8916.0,935,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2007-06-10,2028-04-12,1.8,Shipping
43,Морковь,8004.0,287,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",2008-03-09,2009-03-10,3.1,Available for Pickup
44,Сырокопченая колбаса,3483.0,746,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,1990-05-02,2016-04-02,2.69,Sold
45,Тмин молотый,8521.0,490,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1996-02-09,2023-09-01,3.99,Pending
46,Брынза,2005.0,706,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2008-01-19,2020-02-06,4.12,Refunded
47,Картофель,6770.0,770,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2010-03-06,2014-03-03,4.52,Delivered
48,Уксус,1034.0,170,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2000-03-01,2022-06-03,0.57,Shipping
49,Апельсин,5835.0,945,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,2019-01-28,2023-03-03,2.66,Sold
50,Каша из теффа,5384.0,921,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2010-01-07,2029-02-01,0.51,Backorder
51,Магаданская,382.0,943,Напитки,Отличается низким содержанием насыщенных жиров и холестерина.,2002-01-03,2028-03-07,0.2,Delivered
52,Смузи бананово-клубничный,5373.0,255,Напитки,Является неотъемлемой частью рациона многих народов мира.,2011-04-03,2024-01-04,1.09,Refunded
53,Геленджикская,5214.0,228,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,1993-03-09,2016-01-02,4.35,Sold
54,Ямс,3557.0,815,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,2019-03-09,2027-05-03,4.81,Returned
55,Топинамбур,2408.0,555,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2001-06-02,2024-08-01,1.12,Awaiting Payment
56,Щавель,6502.0,648,Овощи,Подходит для людей с чувствительным пищеварением.,2017-05-01,2022-01-02,1.61,Pending
57,Гауда,5595.0,755,Молочные продукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2016-03-01,2022-01-08,4.81,Refunded
58,Катык,4002.0,587,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2011-05-02,2015-01-20,0.03,Awaiting Payment
59,Карамбола,4270.0,945,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1995-03-03,2008-01-18,2.51,New
60,Кровяная колбаса,5711.0,733,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2018-08-02,2026-01-09,1.62,In Stock
61,Магаданская,8072.0,612,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2015-01-04,2023-02-06,1.56,Sold
62,Черника,3421.0,675,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2001-05-14,2014-07-17,1.02,In Stock
63,Цукини,8484.0,745,Овощи,Является важным компонентом сбалансированного рациона питания.,1998-03-14,2018-02-02,0.79,Pending
64,Куркума молотая,5770.0,762,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1995-08-12,2018-05-09,4.53,Out of Stock
65,Геленджикская,6271.0,141,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,2021-06-01,2026-01-03,1.81,Pending
66,Каша из полбы,3174.0,783,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2020-04-03,2025-04-03,1.13,Out of Stock
67,Ямс,680.0,941,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2009-03-12,2018-11-15,0.54,Available for Pickup
68,Куриные грудки,1426.0,149,Мясо,Помогает поддерживать нормальный уровень сахара в крови.,2006-05-16,2021-04-18,3.54,Pending
69,Ялтинская,2293.0,947,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2003-01-05,2028-08-07,0.92,Out of Stock
70,Лимон,2129.0,352,Фрукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1996-08-23,2019-05-07,1.14,Shipping
71,Фарш индюшиный,8653.0,80,Мясо,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-03-03,2027-09-04,1.19,Available for Pickup
72,Полотенца кухонные,1847.0,626,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2022-06-09,2030-01-09,2.91,Cancelled
73,Пятновыводитель,5062.0,824,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2004-02-05,2017-01-02,3.66,New
74,Шампунь,2147.0,180,Товары для дома,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1992-01-19,2018-09-10,2.64,Shipping
75,Кондиционер для волос,2302.0,51,Товары для дома,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1994-01-08,2022-06-02,3.56,Delivered
76,Простыни,8451.0,141,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1993-06-10,2006-05-13,3.41,Sold
77,Карпаччо,6158.0,258,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,2006-01-21,2009-01-08,2.67,Shipping
78,Грейпфрут,8056.0,684,Фрукты,Отвечает всем современным стандартам качества и безопасности.,1999-02-06,2005-01-03,0.49,Cancelled
79,Топинамбур,8899.0,110,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1997-01-05,2027-02-10,0.77,Delivered
80,Нектарин,189.0,144,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2000-02-22,2021-01-03,2.78,Cancelled
81,Гусиные потроха,9461.0,81,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-01-03,2022-03-01,2.61,In Stock
82,Мыло твердое,6691.0,439,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2022-02-22,2030-01-08,2.63,Refunded
83,Фарш свиной,5538.0,536,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2014-07-03,2030-08-02,3.16,Refunded
84,Индейка,9796.0,493,Мясо,Помогает предотвратить дефицит витаминов и минералов в организме.,2001-06-02,2021-01-11,2.75,Available for Pickup
85,Чабрец сушеный,3424.0,981,Бакалея,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2016-01-10,2028-04-01,3.49,Returned
86,Консервный нож,2958.0,418,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2011-01-25,2020-01-02,2.6,Available for Pickup
87,Пакеты для концерта,9968.0,174,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2001-03-06,2004-04-27,2.48,Cancelled
88,Солонина,1779.0,833,Мясо,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2013-02-13,2024-03-11,1.73,Shipping
89,Ребрышки,2398.0,420,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2016-05-14,2020-01-06,3.38,Pending
90,Копчености,8055.0,433,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2016-06-18,2028-05-01,1.53,Cancelled
91,Салями,4925.0,849,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2019-01-18,2026-01-10,3.21,In Stock
92,Цветная капуста,3718.0,957,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2001-04-02,2023-02-06,3.76,Shipping
93,Верблюжье молоко,9990.0,74,Молочные продукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,1991-01-01,2010-01-01,4.09,New
94,Топлёное молоко,7068.0,133,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-02-11,2010-09-03,1.2,Out of Stock
95,Тыква,3966.0,493,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2009-02-02,2010-01-12,2.33,Delivered
96,Кастрюли,4080.0,820,Товары для дома,Помогает укреплять стенки сосудов и улучшать кровообращение.,2012-05-07,2016-01-04,0.14,Awaiting Payment
97,Авокадо,5925.0,618,Фрукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1992-06-05,2018-03-08,1.05,On Backorder
98,Фарш говяжий,3100.0,118,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-06-01,2002-03-01,3.88,On Backorder
99,Пакеты для аукциона,2834.0,611,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2010-02-01,2013-10-17,1.52,In Stock
100,Тархун,9818.0,189,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2021-01-10,2029-01-02,3.55,New
101,Одинцовская,6875.0,440,Напитки,Поддерживает иммунитет и общее состояние здоровья.,2013-03-04,2030-07-16,1.4,Out of Stock
102,Выборгская,4956.0,630,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2006-03-17,2016-02-15,4.69,Backorder
103,Варено-копченая колбаса,2040.0,781,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2020-07-18,2026-06-01,0.26,Out of Stock
104,Виноград,7026.0,838,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2010-06-05,2022-11-07,3.47,Awaiting Review
105,Чай зеленый,6698.0,975,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2009-02-03,2026-01-10,4.12,Out of Stock
106,Сгущенное молоко,5810.0,280,Бакалея,Подходит для людей с чувствительным пищеварением.,2008-02-21,2025-01-06,3.34,Cancelled
107,Моцарелла,6175.0,91,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2013-01-01,2017-11-27,1.65,New
